commit,HIGH_severity,MEDIUM_severity,LOW_severity,HIGH_confidence,MEDIUM_confidence,LOW_confidence,CWEs,No. of CWEs
2aac37e2fd0ceef06bf01c3004befa8f5d9f0ea8,0,4,2362,2366,0,0,"22,78,703,502",4
6f204fd0c6e314f39efdaf4aa47b2f0a51dd3741,0,4,2362,2366,0,0,"22,78,703,502",4
4f06ab764c1f15417d763976c98a4c17680d3954,0,4,2362,2366,0,0,"22,78,703,502",4
465d8ac1675f65f28051423bd7fd84dc5cd2a715,0,4,2362,2366,0,0,"22,78,703,502",4
db324210ce1859e0be2d37e79fc04b843464e735,0,4,2362,2366,0,0,"22,78,703,502",4
c41747623ef5191f270a99603f60a05df7e2d6cc,0,4,2362,2366,0,0,"22,78,703,502",4
0a3f5e4588ada0296150c7ebf692f55dc444c9b4,0,4,2357,2361,0,0,"22,78,703,502",4
36e0d0c48606c4e8457298aa1c4ff1510c92c8a5,0,4,2342,2346,0,0,"22,78,703,502",4
4ea1406331923444838c7c8dfe9fc411934ed5a0,0,4,2337,2341,0,0,"22,78,703,502",4
b81038977398c7cb65f135a783789197e8d189ff,0,4,2336,2340,0,0,"22,78,703,502",4
cdcdb584bb973e0902e5e803b520e7525f51b24f,0,4,2336,2340,0,0,"22,78,703,502",4
67f43ae9414283fc10330663613e8c1fb6455e34,0,4,2332,2336,0,0,"22,78,703,502",4
45069a966d3e123bf98efbc4f28008e31b243df8,0,4,2332,2336,0,0,"22,78,703,502",4
b7d9e1d32136d4d9d6ab2d3c83d9439e78cc6468,0,4,2332,2336,0,0,"22,78,703,502",4
b9fbfeda3dd8fdb081d538684bd2dcc81b14fb61,0,4,2332,2336,0,0,"22,78,703,502",4
4300be1d5fd6d8ac658bd7f5157f0f06f74f86e5,0,4,2330,2334,0,0,"22,78,703,502",4
79fafb04bd5e26bf1e7057e80860107aa5939c1a,0,4,2330,2334,0,0,"22,78,703,502",4
af5ea5c6ae09484b046351433f36f0ebb572eda8,0,4,2330,2334,0,0,"22,78,703,502",4
0cc291aed423e8474ed69c817f06bc1ee030d8dd,0,4,2328,2332,0,0,"22,78,703,502",4
8270111a2d931e785cc785b9e75c9a8775b9445d,0,4,2328,2332,0,0,"22,78,703,502",4
97df9c3d3b14e951d423fe5dd8bd974a066799e9,0,4,2328,2332,0,0,"22,78,703,502",4
b06d6c38908b00f0600b453fc74fd93014c91132,0,4,2329,2333,0,0,"22,78,703,502",4
db0b21810c67eee7a54111abdf34819a105297a2,0,4,2329,2333,0,0,"22,78,703,502",4
585962da9d2ed77e8c969858d7548af5feb2d8cb,0,4,2330,2334,0,0,"22,78,703,502",4
04fe3cdee020727841e91700cb56303a6b732c2b,0,4,2338,2342,0,0,"22,78,703,502",4
e415124d57e51e931e0c72919447ae0bf3206cfc,0,4,2338,2342,0,0,"22,78,703,502",4
28560627ad75729ac0da865584fdea2344e63a50,0,4,2338,2342,0,0,"22,78,703,502",4
6e0d3175ea52a9f2fb24d26ea9fc39681edded7f,0,4,2338,2342,0,0,"22,78,703,502",4
623ca42591c811401c20a1c64f8d62a6cdb04005,0,4,2338,2342,0,0,"22,78,703,502",4
e19cd39bc02ff63a671e3a760bb45cae0b2f4382,0,4,2340,2344,0,0,"22,78,703,502",4
93b540fa8cee4a05732ab7291811d872e768eaf5,0,4,2340,2344,0,0,"22,78,703,502",4
d596afbe266ae1bdafec6735d73a82885e06dea1,0,4,2340,2344,0,0,"22,78,703,502",4
253513bbc17914ad68921070ec90da44c8720808,0,4,2342,2346,0,0,"22,78,703,502",4
90f20a2d1ccee379cf10491c30f47ff46049398e,0,4,2342,2346,0,0,"22,78,703,502",4
d31301279776888c1540bfba890cba38ea250637,0,4,2339,2343,0,0,"22,78,703,502",4
0680957e2e43f29ed51284687d7a4e7cb21dcde4,0,4,2339,2343,0,0,"22,78,703,502",4
